
Wavelength	Gen uRb 0°	Gen uRb 5°	Gen uRb 10°	Gen uRb 15°	Gen uRb 20°	Gen uRb 25°	Gen uRb 30°	Gen uRb 35°	Gen uRb 40°	Gen uRb 45°
l	0	5	10	15	20	25	30	35	40	45	
0.742	0.081328	0.081329	0.081352	0.081453	0.081741	0.082393	0.083688	0.08606	0.090187	0.097115	
0.744	0.081311	0.081312	0.081335	0.081436	0.081724	0.082376	0.08367	0.086043	0.090169	0.097098	
0.746	0.081294	0.081295	0.081318	0.081419	0.081707	0.082359	0.083653	0.086026	0.090152	0.097081	
0.748	0.081277	0.081278	0.081301	0.081402	0.08169	0.082342	0.083636	0.086009	0.090135	0.097064	
0.75	0.08126	0.081262	0.081284	0.081386	0.081673	0.082325	0.083619	0.085992	0.090118	0.097047	
0.752	0.081243	0.081245	0.081267	0.081369	0.081657	0.082308	0.083603	0.085975	0.090101	0.09703	
0.754	0.081227	0.081228	0.081251	0.081352	0.08164	0.082291	0.083586	0.085959	0.090085	0.097013	
0.756	0.08121	0.081212	0.081234	0.081336	0.081624	0.082275	0.083569	0.085942	0.090068	0.096996	
0.758	0.081194	0.081195	0.081218	0.081319	0.081607	0.082258	0.083553	0.085926	0.090051	0.09698	
0.76	0.081178	0.081179	0.081202	0.081303	0.081591	0.082242	0.083537	0.085909	0.090035	0.096963	
0.762	0.081161	0.081163	0.081185	0.081287	0.081575	0.082226	0.08352	0.085893	0.090019	0.096947	
0.764	0.081145	0.081147	0.081169	0.081271	0.081558	0.08221	0.083504	0.085877	0.090002	0.096931	
0.766	0.081129	0.081131	0.081153	0.081255	0.081542	0.082194	0.083488	0.085861	0.089986	0.096915	
0.768	0.081113	0.081115	0.081137	0.081239	0.081526	0.082178	0.083472	0.085845	0.08997	0.096898	
0.77	0.081097	0.081099	0.081121	0.081223	0.081511	0.082162	0.083456	0.085829	0.089954	0.096882	
0.772	0.081082	0.081083	0.081106	0.081207	0.081495	0.082146	0.08344	0.085813	0.089938	0.096867	
0.774	0.081066	0.081067	0.08109	0.081191	0.081479	0.08213	0.083425	0.085797	0.089923	0.096851	
